gfst_name,gfst_classes
agreement,"class agreement(GeneralSemanticType):
    def __init__(self):
        self.description = ""Agreement""
        self.format = ""In lower-case and as a string""
        self.examples = ['agree', 'disagree', 'agree', 'disagree', 'agree']

    def super_cast(self, val):
        return str(val).lower()

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['agree', 'disagree']:
            return True
        else:
            return False"
yearsatoccupation,"class yearsatoccupation(GeneralSemanticType):

    def __init__(self):
        self.description = 'Years at occupation of survey respondent'
        self.format = 'Years at occupation should be represented as a string'
        self.examples = ['0-6y', '>6']

    def super_cast(self, val):
        if val in self.examples:
            return val
        else:
            raise Exception('Invalid years at occupation')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
familyincome,"class familyincome(GeneralSemanticType):

    def __init__(self):
        self.description = 'Family income of survey respondent'
        self.format = 'Family income should be represented as a string'
        self.examples = ['>10000', '<10000']

    def super_cast(self, val):
        if val in self.examples:
            return val
        else:
            raise Exception('Invalid family income')
            
    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
numberofsmokers,"class numberofsmokers(GeneralSemanticType):
    def __init__(self):
        self.description = 'Number of smokers in the household'
        self.format = 'Number of smokers should be represented as a string'
        self.examples = ['1p', '2-6p']

    def super_cast(self, val):
        if val in self.examples:
            return val
        else:
            return 'Invalid number of smokers'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
numberofchildren,"class numberofchildren(GeneralSemanticType):

    def __init__(self):
        self.description = 'Number of children under 5 in the household'
        self.format = 'Number of children under 5 should be represented as a string'
        self.examples = ['1person', '>=2person']

    def super_cast(self, val):
        if val in self.examples:
            return val
        else:
            return 'Invalid number of children under 5'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
smokinganddrinkinghabits,"class smokinganddrinkinghabits(GeneralSemanticType):

    def __init__(self):
        self.description = 'Smoking and drinking habits of survey respondent'
        self.format = 'Smoking and drinking habits should be represented as a string'
        self.examples = ['both', 'no', 'alcysmkn']

    def super_cast(self, val):
        if isinstance(val, str) and val in self.examples:
            return val
        else:
            raise Exception('Invalid smoking and drinking habits')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
eventidentifier,"class eventidentifier(GeneralSemanticType):

    def __init__(self):
        self.description = 'Unique Event ID'
        self.format = 'Event ID as string'
        self.examples = ['RDWTI', 'Additional GTD Event Identified', '200006080016', '199002170002', '197304220001']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
worldregion,"
class worldregion(GeneralSemanticType):

    def __init__(self):
        self.description = 'World Region per GTD codebook'
        self.format = 'World Region should be capitalized'
        self.examples = ['South Asia', 'Middle East & North Africa', 'Western Europe', 'North America', 'East Asia']

    def super_cast(self, val):
        return str(val).title()

    def validate(self, val):
        casted_val = self.super_cast(val)
        valid_values = ['South Asia', 'Middle East & North Africa', 'Western Europe', 'North America', 'East Asia']
        if casted_val in valid_values:
            return True
        else:
            return False"
weapontype,"class weapontype(GeneralSemanticType):

    def __init__(self):
        self.description = 'Type of weapon used in the attack'
        self.format = 'Integer between 1 and 4'
        self.examples = [1, 2, 3, 4]

    def super_cast(self, val):
        try:
            int_val = int(val)
            if int_val in range(1, 5):
                return int_val
            else:
                raise ValueError
        except ValueError:
            print(f""Provided value {val} cannot be casted to weapontype."")
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is not None and casted_val in range(1, 5):
            return True
        else:
            print(f""Provided value {val} is not a valid weapontype."")
            return False"
eventtype,"class eventtype(GeneralSemanticType):
    def __init__(self):
        self.description = ""Type of an event""
        self.format = ""A number 1 or 2""
        self.examples = [1, 2, 1, 2, 1]

    def super_cast(self, val):
        return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [1, 2]:
            return True
        else:
            return False"
doubtterrorism,"class doubtterrorism(GeneralSemanticType):
    def __init__(self):
        self.description = ""Doubt about terrorism event""
        self.format = ""Binary integer""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
connectedevents,"class connectedevents(GeneralSemanticType):
    def __init__(self):
        self.description = ""Connected events""
        self.format = ""Boolean: 0 or 1""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
multipletypeofharmfulmechanismsexistorsuspected,"class multipletypeofharmfulmechanismsexistorsuspected(GeneralSemanticType):
    def __init__(self):
        self.description = ""Multiple types of harmful mechanisms exist or suspected""
        self.format = ""A boolean (0 or 1)""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
poisoningagent,"class poisoningagent(GeneralSemanticType):

    def __init__(self):
        self.description = 'Poisoning agent used in the attack'
        self.format = 'Poisoning agent should be stored as a string'
        self.examples = ['chlorine gas', 'unknown', 'acid', 'anthrax', 'cyanide']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
presenceofpoisondoubtful,"class presenceofpoisondoubtful(GeneralSemanticType):

    def __init__(self):
        self.description = ""Presence of poison in a sample""
        self.format = ""Boolean represented as an integer""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        if isinstance(val, (int, np.integer)) and val in [0, 1]:
            return int(val)
        elif isinstance(val, str) and val.isdigit() and int(val) in [0, 1]:
            return int(val)
        else:
            raise Exception(""Invalid value"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
suicideattack,"class suicideattack(GeneralSemanticType):
    def __init__(self):
        self.description = ""Indicates whether a suicide attack occurred or not""
        self.format = ""0 or 1 represented as an integer""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        casted_value = int(val)
        if casted_value not in [0, 1]:
            raise ValueError(f""Value {val} cannot be casted to suicideattack format."")
        return casted_value

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        return False"
poisoningoccurred,"class poisoningoccurred(GeneralSemanticType):
    def __init__(self):
        self.description = 'Whether poisoning occurred during the event'
        self.format = 'Should be a string'
        self.examples = ['1', '0', 'Unknown', 'unknown']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['1', '0', 'Unknown', 'unknown']:
            return True
        else:
            return False"
provincecode,"class provincecode(GeneralSemanticType):

    def __init__(self):
        self.description = ""A code that represents a province""
        self.format = ""Province codes are integers ranging from 1 to 65""
        self.examples = [2, 10, 11, 12, 13]
    
    def super_cast(self, val):
        if math.isnan(val):
            return float('nan')
        elif isinstance(val, float):
            return int(round(val, 0))
        else:
            return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and 1 <= casted_val <= 65:
            return True
        else:
            return False"
provincechinese,"class provincechinese(GeneralSemanticType):

    def __init__(self):
        self.description = 'Name of a province in China in Chinese'
        self.format = 'Province names should be in Chinese characters'
        self.examples = ['全国', '北京市', '天津市', '河北省', '山西省']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str) and len(casted_val) > 0:
            return True
        else:
            return False"
provinceenglish,"class provinceenglish(GeneralSemanticType):

    def __init__(self):
        self.description = 'Name of a province in China in English'
        self.format = 'Province names should be in English'
        self.examples = ['Nation', 'Beijing', 'Tianjin', 'Hebei', 'Shanxi']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str) and casted_val.isalpha():
            return True
        else:
            return False"
totalnumber,"class totalnumber(GeneralSemanticType):
    def __init__(self):
        self.description = 'Total number of instances of a particular entity'
        self.format = 'Total numbers should be formatted as floating point numbers with a precision of 3 decimal points'
        self.examples = [684801.0, 5790.0, 4498.0, 70990.0, 21731.0]

    def super_cast(self, val):
        try:
            num = float(val)
            return round(num, 3)
        except ValueError:
            raise Exception(f'Cannot convert {val} to float')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val < 0 or np.isnan(casted_val):
            return False
        return True"
healthcarefacilitycount,"class healthcarefacilitycount(GeneralSemanticType):
    def __init__(self):
        self.description = 'Count of a particular type of healthcare facility'
        self.format = 'Counts should be formatted as floating point numbers with a precision of 3 decimal places'
        self.examples = [756.0, 6.0, 8.0, 72.0, 23.0]

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        num = float(val)
        return round(num, 3)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 0 and not pd.isna(casted_val):
            return True
        else:
            return False"
studylocation,"class studylocation(GeneralSemanticType):
    def __init__(self):
        self.description = 'Location where the study was conducted, denoted by a country code and a short identifier'
        self.format = 'Values should be strings with the country code and identifier separated by an underscore'
        self.examples = ['DE_KI', 'US_BO', 'US_CL', 'DE_FR', 'DE_MU']

    def super_cast(self, val):
        parts = str(val).split('_')
        if len(parts) != 2 or not pycountry.countries.get(alpha_2=parts[0]):
            return 'Invalid study location'
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val != 'Invalid study location':
            return True
        else:
            return False"
patientcount,"class patientcount(GeneralSemanticType):
    def __init__(self):
        self.description = 'Number of patients involved in the study'
        self.format = 'Should be an integer greater than 0'
        self.examples = [59, 39, 105, 37, 17]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val < 1:
                raise Exception('Invalid patient count')
            return casted_val
        except ValueError:
            raise Exception('Invalid value for patient count')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and casted_val > 0:
            return True
        else:
            return False"
machine,"class machine(GeneralSemanticType):

    def __init__(self):
        self.description = 'Name of the machine used in the exercise.'
        self.format = 'Machine names should be capitalized and stored as strings.'
        self.examples = ['LEG PRESS', 'LEG EXTENSION', 'ABDUCTOR', 'ADDUCTOR', 'LOWER BACK']

    def super_cast(self, val):
        return str(val).upper()

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str) and casted_val.isupper():
            return True
        else:
            return False"
setvalue,"
class setvalue(GeneralSemanticType):
    def __init__(self):
        self.description = 'A set of exercises in the study.'
        self.format = 'Set should be represented as an integer.'
        self.examples = [1, 2, 3, 4, 5]

    def super_cast(self, val):
        try:
            return int(val)
        except ValueError:
            raise Exception(""Cannot cast to int"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and casted_val >= 1:
            return True
        else:
            return False"
contractionmode,"class contractionmode(GeneralSemanticType):

    def __init__(self):
        self.description = 'Contraction mode of the exercise.'
        self.format = ""Contraction modes should start with 'Con' followed by a numeric value and stored as strings.""
        self.examples = ['Con01', 'Con02', 'Con03', 'Con04', 'Con05']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if re.match(r'^Con\d+$', casted_val):
            return True
        else:
            return False"
time,"class time(GeneralSemanticType):

    def __init__(self):
        self.description = 'A time value'
        self.format = 'In milliseconds as a float'
        self.examples = [1340.0, 1160.0, 1220.0, 1260.0, 1560.0]

    def super_cast(self, val):
        if isinstance(val, str) and val.isdigit():
            return float(val)
        else:
            return float(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and casted_val >= 0:
            return True
        else:
            return False"
relativedifference,"class relativedifference(GeneralSemanticType):

    def __init__(self):
        self.description = 'Relative difference in time between two measurements.'
        self.format = 'Relative difference should be represented as a floating point number.'
        self.examples = [0.241, 0.154, 0.118, 0.083, 0.033]

    def super_cast(self, val):
        try:
            casted_val = float(val)
            if casted_val >= 0:
                return casted_val
            else:
                raise ValueError
        except ValueError:
            raise ValueError(""Invalid value. Expected a non-negative number"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and casted_val >= 0:
            return True
        else:
            return False"
contractionmodelevels,"class contractionmodelevels(GeneralSemanticType):
    def __init__(self):
        self.description = 'Level of contraction mode.'
        self.format = 'The contraction mode level should be represented as a string.'
        self.examples = ['Con', 'Ecc', 'Rep', 'TuT']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['Con', 'Ecc', 'Rep', 'TuT']:
            return True
        else:
            return False"
outlier,"
class outlier(GeneralSemanticType):
    def __init__(self):
        self.description = ""Possibly contains outliers""
        self.format = ""The value should be a positive integer""
        self.examples = [1, 8, 21, 16]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val in [0, 1]:
                return casted_val
            elif casted_val >= 0:
                return casted_val
        except ValueError:
            raise Exception('Invalid value')
        except TypeError:
            raise Exception('Invalid type')
        except Exception as e:
            raise Exception('An error occurred during casting: {}'.format(e))

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 0:
            return True
        else:
            return False"
normalizederror,"class normalizederror(GeneralSemanticType):
    def __init__(self):
        self.description = 'Normalized error of the smartphone.'
        self.format = 'Normalized error should be represented as a string.'
        self.examples = ['0', '6.67', '4', '20', '1.82']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if re.match(""^-?\d+(.\d+)?$"", casted_val):
            return True
        else:
            return False"
participantage,"class participantage(GeneralSemanticType):

    def __init__(self):
        self.description = 'Age group of the participant.'
        self.format = 'Age group should be represented as a string.'
        self.examples = ['young', 'old']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['young', 'old']:
            return True
        else:
            return False"
participantageyears,"class participantageyears(GeneralSemanticType):

    def __init__(self):
        self.description = 'Age of the participant in years.'
        self.format = 'Age should be represented as an integer.'
        self.examples = [19, 31, 38, 50, 70]

    def super_cast(self, val):
        try:
            return int(val)
        except ValueError:
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is None:
            return False
        return 0 <= casted_val <= float('inf')"
participantheight,"class participantheight(GeneralSemanticType):

    def __init__(self):
        self.description = 'Height of the participant in centimeters.'
        self.format = 'Height should be represented as a floating-point number.'
        self.examples = [160.0, 166.0, 178.0, 181.0, 187.0]

    def super_cast(self, val):
        try:
            float_val = float(val)
            if 0 <= float_val <= float('inf'):
                return float_val
            else:
                raise ValueError('Value is not within the valid range.')
        except Exception as e:
            raise ValueError(f'Error casting value: {e}')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if 0 <= casted_val <= float('inf'):
            return True
        else:
            return False"
participantweight,"class participantweight(GeneralSemanticType):

    def __init__(self):
        self.description = 'Weight of the participant.'
        self.format = 'Weight should be represented as a floating-point number.'
        self.examples = [46.0, 68.0, 77.0, 90.0, 105.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            raise Exception('Invalid value')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if not (0 <= casted_val <= float('inf')):
            raise Exception('Invalid range')"
participantgender,"class participantgender(GeneralSemanticType):

    def __init__(self):
        self.description = 'Gender of the participant.'
        self.format = 'Gender should be represented as a string.'
        self.examples = ['m', 'f', 'm', 'f', 'm']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['m', 'f']:
            return True
        else:
            return False"
issue,"class issue(GeneralSemanticType):
    def __init__(self):
        self.description = ""Issue number""
        self.format = ""Integer""
        self.examples = [1, 2, 3, 4, 10]
        
    def super_cast(self, val):
        try:
            # Attempt to cast the value to integer
            return int(val)
        except ValueError:
            # If the value cannot be cast to integer, it is considered as invalid
            return float('nan')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if pd.isna(casted_val):
            return False
        elif (casted_val < 1) or (casted_val > 12):
            return False
        return True"
accessnumber,"class accessnumber(GeneralSemanticType):

    def __init__(self):
        self.description = 'Access number of the review'
        self.format = ""Access number should be in the format 'CD######'""
        self.examples = ['CD011882', 'CD001275', 'CD003830', 'CD001347', 'CD003690']

    def super_cast(self, val):
        match_obj = re.match('CD[0-9]{6}', val)
        if match_obj:
            return match_obj.group()
        else:
            return 'Invalid'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if re.match('CD[0-9]{6}', casted_val):
            return True
        else:
            return False"
reviewerdecision,"
class reviewerdecision(GeneralSemanticType):

    def __init__(self):
        self.description = 'Decision of the reviewer on the review'
        self.format = 'Decision should be a string'
        self.examples = ['Yes', 'No', 'Need to read full paper to make a decision', 'No decision made yet', 'No consensus']

    def super_cast(self, val):
        valid_decisions = ['Yes', 'No', 'Need to read full paper to make a decision', 'No decision made yet', 'No consensus']
        if val in valid_decisions:
            return val
        else:
            return 'Invalid decision'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['Yes', 'No', 'Need to read full paper to make a decision', 'No decision made yet', 'No consensus']:
            return True
        else:
            return False"
finalcommitteedecision,"class finalcommitteedecision(GeneralSemanticType):

    def __init__(self):
        self.description = ""Final Committee Decision""
        self.format = ""boolean string""
        self.examples = ['Yes', 'No', 'Yes', 'No', 'Yes']

    def super_cast(self, val):
        if str(val).lower() in ['yes', 'no']:
            return str(val).capitalize()
        else:
            raise Exception('Invalid decision')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['Yes', 'No']:
            return True
        else:
            return False"
conflictorerror,"class conflictorerror(GeneralSemanticType):

    def __init__(self):
        self.description = 'Conflict or error in the review'
        self.format = 'String representation of conflict or error status'
        self.examples = ['None', 'CONFLICT', 'Error in inclusion']

    def super_cast(self, val):
        valid_values = ['None', 'CONFLICT', 'Error in inclusion']
        if val in valid_values:
            return val
        else:
            return 'Invalid value'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['None', 'CONFLICT', 'Error in inclusion']:
            return True
        else:
            return False"
surgeonsurveytimestamp,"class surgeonsurveytimestamp(GeneralSemanticType):

    def __init__(self):
        self.description = 'Timestamp for the surgeon survey'
        self.format = 'Timestamp should be represented as float'
        self.examples = [42283.43611111112, 42283.44791666666, 42283.45069444445, 42283.538194444445, 42283.54930555556]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            return 'Cannot cast to float'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and 42283.43611111112 <= casted_val <= 42348.927777777775:
            return True
        else:
            return False"
americaninstitution,"class americaninstitution(GeneralSemanticType):
    def __init__(self):
        self.description = ""An American Institution""
        self.format = ""Boolean in numeric form""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val in [0, 1]:
                return casted_val
            else:
                raise ValueError(f'Invalid value for americaninstitution: {val}')
        except ValueError:
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
yearsinpractice,"class yearsinpractice(GeneralSemanticType):

    def __init__(self):
        self.description = 'Number of years in practice'
        self.format = 'Years in practice should be an integer'
        self.examples = [8, 10, 5, 33, 6]

    def super_cast(self, val):
        try:
            return int(val)
        except ValueError:
            raise Exception(f""Value {val} cannot be casted to an integer"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is not None and isinstance(casted_val, int) and 1 <= casted_val <= 40:
            return True
        else:
            return False"
specialty,"class specialty(GeneralSemanticType):

    def __init__(self):
        self.description = 'Specialty of the practitioner'
        self.format = 'Specialty should be in lowercase'
        self.examples = ['neurosurgery', 'neurosurgery ', 'neurosurgery', 'pediatrics', 'neurosurgery']

    def super_cast(self, val):
        return str(val).strip().lower()

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
subspecialty,"class subspecialty(GeneralSemanticType):
    def __init__(self):
        self.description = 'Subspecialty of the practitioner'
        self.format = 'Subspecialty should be in lowercase'
        self.examples = ['neurotrauma', 'pulmonary', 'neurophysiology (sleep)', 'critical care', 'cardiology']

    def super_cast(self, val):
        return str(val).strip().lower() if pd.notnull(val) else None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
researchtype,"class researchtype(GeneralSemanticType):
    def __init__(self):
        self.description = 'Types of research in a journal'
        self.format = ""Research type should be a string, for example: 'RW2'""
        self.examples = ['RW2', 'RW1', 'E1', 'R6', 'R16']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
paperorder,"class paperorder(GeneralSemanticType):

    def __init__(self):
        self.description = 'Order number of the paper'
        self.format = 'An integer number'
        self.examples = [17, 12, 24, 10, 27]

    def super_cast(self, val):
        try:
            return int(val)
        except ValueError:
            raise Exception(""Invalid value. It should be an integer."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and casted_val > 0:
            return True
        else:
            return False"
fieldofstudy,"class fieldofstudy(GeneralSemanticType):
    def __init__(self):
        self.description = 'Field of study for the paper'
        self.format = 'A string'
        self.examples = ['medicine', 'nursing', 'physical therapy', 'pharmacy', 'healthcare']

    def super_cast(self, val):
        if pd.isna(val):
            return None
        return str(val).strip()
    
    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
researchsubject,"class researchsubject(GeneralSemanticType):

    def __init__(self):
        self.description = 'Subject of the research'
        self.format = 'The research subject should be a string'
        self.examples = ['student', 'graduate student', 'resident', 'university, college', 'clinical instructors']

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
researchcategory,"class researchcategory(GeneralSemanticType):
    def __init__(self):
        self.description = 'Category of the research'
        self.format = 'string'
        self.examples = ['perception survey', 'course evaluation', 'paper review', 'assessment tool', 'licensing examination content evaluation']

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
